drug_name,unique_prescriber,total_drug_cost
HARVONI,26,23559447
CRESTOR,578,11900274
REVLIMID,37,11347173
ADVAIR DISKUS,519,10364391
SPIRIVA,474,10213210
LANTUS SOLOSTAR,411,9743709
JANUVIA,391,8401296
ENBREL,33,8264225
LANTUS,377,8146889
NEXIUM,462,7916077
HUMIRA PEN,47,6614791
SYMBICORT,388,6414109
LYRICA,426,6312352
XARELTO,366,5923338
RENVELA,78,5302547
LEVEMIR FLEXTOUCH,243,5242756
COPAXONE,22,4556716
ABILIFY,133,4534092
ZETIA,311,4369999
ELIQUIS,192,4025734
NOVOLOG FLEXPEN,199,4016868
NAMENDA XR,203,3824537
TECFIDERA,14,3807221
GLEEVEC,23,3538840
SENSIPAR,74,3517481
SOVALDI,9,3402650
ZYTIGA,17,2916774
LEVOTHYROXINE SODIUM,906,2910904
ATORVASTATIN CALCIUM,1099,2854436
IMBRUVICA,16,2846217
NAMENDA,217,2728591
ATRIPLA,25,2655580
TRUVADA,35,2637624
METOPROLOL SUCCINATE,812,2581442
PROAIR HFA,706,2523071
DULOXETINE HCL,555,2475539
HUMALOG KWIKPEN U-100,115,2384158
ARIPIPRAZOLE,131,2342376
HYDROCODONE-ACETAMINOPHEN,1082,2334567
INVEGA SUSTENNA,30,2333041
OXYCONTIN,138,2296214
EXELON,116,2230530
JANUMET,143,2184268
TRADJENTA,147,2172527
LEVEMIR,151,2117150
PRADAXA,144,2087096
NOVOLOG,165,2052765
VICTOZA 3-PAK,78,1994770
HUMIRA,19,1951807
GABAPENTIN,1019,1950324
RANEXA,128,1901647
RESTASIS,91,1890115
XTANDI,10,1869821
VESICARE,202,1853505
TARCEVA,15,1789684
GILENYA,10,1781767
OMEPRAZOLE,1073,1761336
HUMALOG,146,1719192
COMBIVENT RESPIMAT,187,1715126
DEXILANT,163,1694296
FORTEO,26,1664187
OXYCODONE-ACETAMINOPHEN,657,1628283
OFEV,10,1595905
PRAVASTATIN SODIUM,669,1572458
CELECOXIB,296,1571318
JAKAFI,5,1565840
SEROQUEL XR,94,1561550
POTASSIUM CHLORIDE,686,1549293
NOVOLOG MIX 70-30 FLEXPEN,71,1515382
TAMSULOSIN HCL,653,1489464
HYDROXYCHLOROQUINE SULFATE,99,1483179
VIMPAT,55,1481192
PREZISTA,27,1450856
FENOFIBRATE,395,1445820
INVOKANA,95,1419926
LIDOCAINE,140,1390410
ISENTRESS,26,1298670
REBIF,12,1293290
BENICAR,181,1291820
BETASERON,8,1268139
XELJANZ,17,1261446
CLOBETASOL PROPIONATE,165,1239893
VALSARTAN,398,1206525
LUMIGAN,83,1206274
TRACLEER,8,1191740
LATUDA,46,1175428
BYSTOLIC,199,1133380
RISPERDAL CONSTA,36,1114693
MULTAQ,59,1112742
REYATAZ,21,1097640
AMLODIPINE BESYLATE,1120,1093619
OMEGA-3 ACID ETHYL ESTERS,185,1050500
AFINITOR,6,1045499
AUBAGIO,4,1031165
SIMVASTATIN,902,1031161
DIVALPROEX SODIUM ER,153,1026319
LISINOPRIL,1147,1018444
ORENCIA,11,1012770
GAMMAGARD LIQUID,6,1003398
CLOPIDOGREL,801,1002861
POMALYST,3,997663
NEULASTA,5,976647
VOLTAREN,242,976470
METHOTREXATE,106,958699
FENTANYL,233,948334
LOSARTAN POTASSIUM,856,921535
LINZESS,90,909071
SYNTHROID,349,890146
IBRANCE,6,876014
ESBRIET,7,869006
AMPYRA,10,850632
CIMZIA,13,849461
TIVICAY,12,841573
ONGLYZA,74,838271
BENICAR HCT,120,819678
PREMARIN,156,807809
TRAVATAN Z,76,793100
PANTOPRAZOLE SODIUM,875,790743
AMITIZA,96,790176
XIFAXAN,27,789636
DONEPEZIL HCL,515,785941
QUETIAPINE FUMARATE,451,771406
EFFIENT,72,770922
COMPLERA,11,770467
MORPHINE SULFATE ER,216,763075
RALOXIFENE HCL,136,762319
METFORMIN HCL,831,759079
MYRBETRIQ,65,759046
EXJADE,5,750450
AVONEX,9,748898
ULORIC,78,743355
VYTORIN,97,741353
PROLASTIN C,5,737083
AVONEX PEN,8,733293
FLOVENT HFA,104,726661
LAMICTAL XR,6,717449
WARFARIN SODIUM,709,716624
ARALAST NP,3,715860
NOVOLOG MIX 70-30,53,715353
DULERA,91,713798
HUMALOG MIX 75-25 KWIKPEN,32,671486
MONTELUKAST SODIUM,565,668857
NASONEX,109,663287
HUMULIN 70-30,83,657341
DICLOFENAC SODIUM,205,644112
BREO ELLIPTA,61,643313
CREON,47,643195
THALOMID,2,640643
PROCRIT,22,639945
METOPROLOL TARTRATE,944,631324
WELCHOL,58,628574
OXYCODONE HCL,377,628265
NORVIR,28,627229
TRIUMEQ,8,625964
VENTOLIN HFA,319,624433
ABILIFY MAINTENA,12,624061
TUDORZA PRESSAIR,57,618360
TIKOSYN,23,612538
SUBOXONE,26,612133
FUROSEMIDE,1058,607788
FLUTICASONE PROPIONATE,688,603774
STRIBILD,9,598203
ESOMEPRAZOLE MAGNESIUM,110,597954
EPZICOM,19,597538
SUTENT,4,596662
NOVOLIN 70-30,91,586935
AVODART,93,586295
BD ULTRA-FINE PEN NEEDLE,301,585369
ENOXAPARIN SODIUM,73,580165
COMBIGAN,69,578093
COLCRYS,88,574098
ENALAPRIL MALEATE,394,572770
VIEKIRA PAK,1,570492
LIALDA,30,557411
SPRYCEL,5,548107
GAMUNEX-C,3,543368
INVEGA,28,542439
DIVALPROEX SODIUM,259,537565
HUMULIN N,79,530962
BRILINTA,43,530306
ECONAZOLE NITRATE,54,529321
CHLORPROMAZINE HCL,53,527749
BUDESONIDE EC,23,523933
CARVEDILOL,787,516671
ONFI,8,514042
SPIRIVA RESPIMAT,43,510427
QVAR,105,510259
SANTYL,49,505178
LAMOTRIGINE ER,14,503495
SIMPONI,5,495916
OLANZAPINE,231,490440
DALIRESP,51,490371
ALLOPURINOL,589,484961
METFORMIN HCL ER,324,481229
CLOZAPINE,78,480988
ISOSORBIDE MONONITRATE ER,493,475102
OXYBUTYNIN CHLORIDE ER,271,473795
VALSARTAN-HYDROCHLOROTHIAZIDE,320,472340
ASACOL HD,30,470480
TOLTERODINE TARTRATE ER,106,469237
NUEDEXTA,31,464738
LEVETIRACETAM,311,456411
ALPHAGAN P,43,449757
AGGRENOX,54,443497
DOXYCYCLINE HYCLATE,284,442956
INTELENCE,15,440081
H.P. ACTHAR,1,438306
BUPROPION XL,272,435557
PATADAY,71,434936
NIFEDIPINE ER,318,432448
HUMULIN R U-500,7,431821
VICTOZA 2-PAK,39,428382
NIACIN ER,110,421067
HUMALOG MIX 75-25,30,418583
COLCHICINE,98,417355
MEMANTINE HCL,135,416624
ATROVENT HFA,35,414152
PREDNISONE,962,407446
ANDROGEL,28,407319
DIOVAN,85,406621
ESCITALOPRAM OXALATE,552,406426
MIRTAZAPINE,402,401437
SERTRALINE HCL,709,395370
RANITIDINE HCL,563,394282
HYDROCHLOROTHIAZIDE,890,392732
TRAMADOL HCL,810,390722
VENLAFAXINE HCL ER,386,388704
ALPRAZOLAM,662,385776
LETAIRIS,4,385487
PREDNISOLONE ACETATE,80,385376
ADVAIR HFA,49,384319
GATTEX,1,383397
ADCIRCA,9,382744
TAFINLAR,1,380703
CUBICIN,7,380379
HYDRALAZINE HCL,441,375175
AZILECT,20,372859
BACLOFEN,356,372223
XYREM,3,371050
MEKINIST,1,370557
LOSARTAN-HYDROCHLOROTHIAZIDE,480,368060
MODAFINIL,38,363213
FINASTERIDE,351,362033
JANUMET XR,36,359303
PRISTIQ ER,53,357047
NEXAVAR,3,356204
AZOR,46,355184
LAMICTAL,11,354034
VALGANCICLOVIR HCL,9,353501
ZOLPIDEM TARTRATE,637,352216
PROLIA,11,348571
DOXAZOSIN MESYLATE,302,348069
TIZANIDINE HCL,250,341597
ATENOLOL,689,331060
KEPPRA,11,328658
GLIMEPIRIDE,397,326990
FLUOXETINE HCL,518,325664
KOMBIGLYZE XR,31,325633
ANORO ELLIPTA,30,324897
CARBAMAZEPINE,160,322550
DIGOXIN,225,319258
RISPERIDONE,302,319207
BANZEL,6,317878
TRAZODONE HCL,653,317130
URSODIOL,45,316918
CARBIDOPA-LEVODOPA,194,312799
ZIPRASIDONE HCL,93,306544
EXEMESTANE,25,296133
RIVASTIGMINE,66,295313
PIOGLITAZONE HCL,194,290720
AZOPT,34,284795
LANSOPRAZOLE,210,284329
BUDESONIDE,33,280630
LATANOPROST,188,279260
TASIGNA,3,278381
ALENDRONATE SODIUM,569,275652
DILTIAZEM 24HR ER,205,275627
POLYETHYLENE GLYCOL 3350,292,274799
PAROXETINE HCL,462,273492
AMLODIPINE BESYLATE-BENAZEPRIL,228,272716
CALCIUM ACETATE,54,272172
CLOTRIMAZOLE-BETAMETHASONE,184,269121
REMICADE,3,268332
AMITRIPTYLINE HCL,404,268019
CLONAZEPAM,581,265971
SAPHRIS,16,265548
KALETRA,8,264485
REBIF REBIDOSE,4,263193
VIREAD,13,261284
LIDODERM,34,260228
CITALOPRAM HBR,624,260138
FANAPT,7,259298
LORAZEPAM,627,256540
SUSTIVA,12,256488
PREZCOBIX,6,252103
TOVIAZ,44,252006
OXYBUTYNIN CHLORIDE,282,250218
DIGOX,208,247953
TRIBENZOR,36,247661
AMIODARONE HCL,248,247470
STIVARGA,2,246536
BUMETANIDE,165,245945
GLASSIA,1,238157
LABETALOL HCL,178,237000
NOVOLIN R,74,236253
NOVOLIN N,60,233782
RAPAFLO,26,232999
AZITHROMYCIN,687,229631
TOPAMAX,10,228877
BRIMONIDINE TARTRATE,85,225864
LOVASTATIN,405,225719
CLONIDINE,75,225230
INSULIN SYRINGE,207,224468
BYDUREON PEN,15,223463
METHYLPREDNISOLONE,316,222794
PATANOL,38,217655
JENTADUETO,17,217477
VANCOMYCIN HCL,42,217401
PENTASA,14,216542
SPIRONOLACTONE,504,216501
KETOCONAZOLE,164,214634
CARAFATE,46,214124
FLUOCINONIDE,49,212854
KLOR-CON M20,265,212514
CYCLOBENZAPRINE HCL,396,211281
PHENYTOIN SODIUM EXTENDED,192,211225
ISOSORBIDE DINITRATE,125,210159
LEVOFLOXACIN,556,208877
COREG CR,34,207969
ARANESP,11,207699
OPANA ER,15,207503
NEUPRO,17,205781
NEUPOGEN,5,205320
FOSRENOL,9,204833
DEXTROAMPHETAMINE-AMPHETAMINE,103,204175
APRISO,26,203931
DEXTROAMPHETAMINE-AMPHET ER,53,203867
SOMAVERT,1,201987
GLUMETZA,5,199603
METRONIDAZOLE,198,199199
MELOXICAM,520,197902
TRIAMCINOLONE ACETONIDE,334,196535
GALANTAMINE HBR,48,195138
LEFLUNOMIDE,34,194623
LISINOPRIL-HYDROCHLOROTHIAZIDE,508,194096
VAGIFEM,24,191074
RAMIPRIL,276,190413
PROMACTA,3,189635
CARBAMAZEPINE ER,58,189600
BUTRANS,23,189196
BYETTA,11,188926
NUVIGIL,13,188511
DILTIAZEM 24HR CD,213,188297
FAMOTIDINE,404,187680
CARTIA XT,189,186876
PROPRANOLOL HCL ER,104,186796
OPSUMIT,2,185934
ACTEMRA,5,183676
IBUPROFEN,585,182594
AMLODIPINE-VALSARTAN,55,178361
FENOFIBRIC ACID,68,178229
HUMALOG MIX 50-50 KWIKPEN,5,177632
KEPPRA XR,3,176115
LEXIVA,6,175754
VIIBRYD,36,175045
BYDUREON,17,174418
IBANDRONATE SODIUM,97,174414
XENAZINE,1,173386
ROPINIROLE HCL,266,173055
ZYPREXA RELPREVV,2,170996
HALOPERIDOL,125,170720
PROPAFENONE HCL ER,14,170608
GLIPIZIDE,487,170392
TRIAMTERENE-HYDROCHLOROTHIAZID,377,169508
BUPROPION HCL SR,249,169098
SUMATRIPTAN SUCCINATE,143,168704
AZELASTINE HCL,84,167986
ACETAMINOPHEN-CODEINE,365,166090
ZOSTAVAX,41,165519
MECLIZINE HCL,272,165347
XOLAIR,3,164659
VIAGRA,12,163442
SELZENTRY,6,162809
HUMULIN R,54,162452
TIMOLOL MALEATE,96,161421
CLONIDINE HCL,468,161217
BUSPIRONE HCL,269,158787
ESTRACE,30,158170
STELARA,1,157053
AMOXICILLIN-CLAVULANATE POTASS,394,156280
LAMOTRIGINE,235,156183
ONDANSETRON HCL,231,155603
CIPROFLOXACIN HCL,643,155420
NITROSTAT,225,154831
BUPRENORPHINE-NALOXONE,15,153532
CELEBREX,23,153096
TEMAZEPAM,282,152810
TRELSTAR,1,152531
TOPIRAMATE,244,152501
CALCITRIOL,114,151927
ELMIRON,8,151552
OXYMORPHONE HCL ER,21,150681
NYSTATIN,222,149998
TAMIFLU,38,148998
XALKORI,1,148602
WELLBUTRIN XL,8,148470
OXCARBAZEPINE,114,146279
LIDOCAINE-PRILOCAINE,44,145693
PRAMIPEXOLE DIHYDROCHLORIDE,174,145333
TOPROL XL,93,144978
XGEVA,4,144662
FARXIGA,16,141864
PROSOL,11,141776
CHLORTHALIDONE,144,141030
PROPRANOLOL HCL,259,140951
PERCOCET,6,139923
LIVALO,31,139585
VERAPAMIL ER,243,138991
SEROSTIM,1,137300
ICLUSIG,1,137253
MIDODRINE HCL,75,136988
SUPREP,23,136414
FLUOROURACIL,28,136181
RITUXAN,1,136041
IRBESARTAN,169,135482
NYSTATIN-TRIAMCINOLONE,41,135271
VASCEPA,20,135122
GLIPIZIDE ER,238,135056
ACYCLOVIR,154,134354
ZELBORAF,1,132922
FELBATOL,1,132917
SUCRALFATE,156,132057
HUMULIN 70/30 KWIKPEN,17,131812
FYCOMPA,6,131639
TOUJEO SOLOSTAR,11,130362
NITROFURANTOIN MONO-MACRO,153,130247
METOLAZONE,135,130171
LOTEMAX,21,130005
NADOLOL,64,128709
LYNPARZA,1,128252
HETLIOZ,1,127730
FLECAINIDE ACETATE,62,127273
AMANTADINE,55,126783
POTASSIUM CITRATE ER,36,126166
VIGAMOX,21,125128
ANASTROZOLE,99,123507
JALYN,27,119976
CEFUROXIME,96,119034
ILEVRO,11,118851
DUREZOL,15,118446
LACTULOSE,193,118136
CLOMIPRAMINE HCL,13,117408
ASMANEX,24,117232
TACROLIMUS,21,117231
RISEDRONATE SODIUM,22,117157
DESONIDE,27,117057
DORZOLAMIDE-TIMOLOL,72,116267
NILANDRON,2,115995
PROLENSA,8,115970
BUTALBITAL-ACETAMINOPHEN-CAFFE,90,115873
MOVIPREP,22,112521
FLUCONAZOLE,257,112179
VYVANSE,20,111854
ROZEREM,23,110886
ESTRADIOL,148,110693
VALACYCLOVIR,140,109525
GLIPIZIDE-METFORMIN,36,109368
SAVELLA,22,108928
REPAGLINIDE,44,108215
ENTACAPONE,23,107723
MUPIROCIN,200,107377
HERCEPTIN,1,106097
AVASTIN,1,105855
FLECTOR,7,105080
GEMFIBROZIL,225,103096
COUMADIN,51,102677
CAPTOPRIL,53,102527
TOBRAMYCIN-DEXAMETHASONE,35,102351
METHYLPHENIDATE HCL,64,102191
BETAMETHASONE DIPROPIONATE,57,101818
DELZICOL,10,101716
CARBIDOPA-LEVODOPA-ENTACAPONE,9,101603
SOTALOL,143,101221
NIFEDICAL XL,124,100069
INVANZ,10,99896
BRINTELLIX,14,99833
BENAZEPRIL HCL,299,99728
CIALIS,19,98418
BENZTROPINE MESYLATE,157,95808
CANASA,9,95335
NEVANAC,7,95058
HUMALOG MIX 50-50,5,94591
CHOLESTYRAMINE,45,93784
DEPAKOTE ER,9,92347
NAPROXEN,349,92118
HUMULIN N KWIKPEN,9,91387
CEPHALEXIN,464,91299
ALBUTEROL SULFATE,74,90938
CHANTIX,20,89427
APIDRA SOLOSTAR,7,87931
DILTIAZEM ER,123,87914
STRATTERA,14,86954
ORENITRAM ER,1,86469
CICLOPIROX,50,86009
OLANZAPINE ODT,28,84630
PROCTOZONE-HC,37,84619
CARBIDOPA-LEVODOPA ER,51,84571
BIDIL,12,84165
TORSEMIDE,119,84121
DIAZEPAM,349,83173
METHADONE HCL,94,82849
SUBSYS,1,82812
VIMOVO,2,81865
IPRATROPIUM-ALBUTEROL,73,81651
CILOSTAZOL,131,81440
ETODOLAC,46,80968
TRAMADOL HCL-ACETAMINOPHEN,99,80702
NABUMETONE,92,79908
LEVOCETIRIZINE DIHYDROCHLORIDE,90,79447
ALOXI,1,79171
ZONEGRAN,3,78380
RENAGEL,5,78322
AMOXICILLIN,574,77507
BALSALAZIDE DISODIUM,17,77423
VENLAFAXINE HCL,109,77248
FELODIPINE ER,76,75746
SULFAMETHOXAZOLE-TRIMETHOPRIM,447,75736
GLIPIZIDE XL,143,75636
MYCOPHENOLATE MOFETIL,32,75621
FELBAMATE,4,74897
ESZOPICLONE,68,74074
VELPHORO,3,73160
EDURANT,3,73110
BUPROPION HCL,89,72600
PRIMIDONE,111,72563
TERAZOSIN HCL,218,71769
ALIMTA,1,71461
APIDRA,7,71394
MEGESTROL ACETATE,83,71134
NEVIRAPINE ER,4,71058
ERYTHROMYCIN,48,70969
RELPAX,8,70720
CLOTRIMAZOLE,62,70531
PHENOBARBITAL,86,70529
LAMIVUDINE-ZIDOVUDINE,9,70414
ENTECAVIR,5,70381
INVEGA TRINZA,1,70290
DICLOFENAC POTASSIUM,32,69978
CEFDINIR,66,69719
AMLODIPINE-VALSARTAN-HCTZ,20,69476
TEGRETOL XR,18,69383
PARICALCITOL,13,69362
CEVIMELINE HCL,13,69174
VECTIBIX,1,69070
TELMISARTAN,47,68520
ZYPREXA,5,68358
AZATHIOPRINE,57,67083
AMMONIUM LACTATE,71,66453
NATEGLINIDE,25,66017
HYDROXYZINE HCL,134,65815
NYSTOP,68,65793
FLOVENT DISKUS,16,65488
ZOLPIDEM TARTRATE ER,43,65295
CALCIPOTRIENE,8,65270
TRILEPTAL,4,65199
OCTAGAM,1,64976
SILDENAFIL,16,64693
TYSABRI,1,64373
DILTIAZEM HCL,130,64292
TAMOXIFEN CITRATE,52,64271
SILENOR,8,64215
SEROQUEL,7,63848
CANDESARTAN CILEXETIL,26,63798
NOXAFIL,1,63459
QUINAPRIL HCL,153,63313
METHENAMINE HIPPURATE,30,63304
EDECRIN,5,62331
IPRATROPIUM BROMIDE,85,62303
TEKTURNA,16,62222
ENDOCET,38,62110
DOXEPIN HCL,86,61110
MYCOPHENOLIC ACID,4,61008
NITROFURANTOIN,57,60771
PIOGLITAZONE-METFORMIN,15,60389
NITROGLYCERIN PATCH,79,59927
FONDAPARINUX SODIUM,2,59778
KETOROLAC TROMETHAMINE,40,59707
APTIOM,4,59623
EPIPEN 2-PAK,6,59561
GABITRIL,2,59412
CEFTRIAXONE,32,59108
TYKERB,1,57655
OFLOXACIN,45,57388
KLOR-CON M10,109,57153
HYDROCORTISONE,121,57079
ENABLEX,13,56939
HYDROMORPHONE HCL,95,56354
BISOPROLOL FUMARATE,54,56126
LEVETIRACETAM ER,11,56096
BENAZEPRIL-HYDROCHLOROTHIAZIDE,41,55844
ONDANSETRON ODT,102,55832
DIPHENOXYLATE-ATROPINE,87,55774
